HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text-eng,Input.label,Input.parameter,Input.parameter_num_labels,Answer.manifesto_class.labels,Approve,Reject
39N6W9XWS05H65P9I0HAUP0E2RZGYY,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3H8DHMCCWXULW0OV2XKD4GEL9CQDK8,A335R4YE2E34H6,Approved,Fri May 02 06:07:26 PDT 2025,Fri May 02 06:07:52 PDT 2025,Mon May 05 06:07:52 PDT 2025,Mon May 05 06:08:49 PDT 2025,,,26,100% (152/152),100% (46/46),100% (46/46),"Madam President, Mr Posselt, I do not really think it took any courage to talk to China. Our dialogue with China – in which I have taken part myself – is very open and direct.
 The issue you raised is, of course, being pursued not only in relation to China, but also to Turkey. We have raised our concerns on the matter in our discussions with Turkey and will obviously continue to insist in future that the legal and administrative measures being established by Turkey in this respect are in line with our expectations in this domain, which of course correspond to international standards.",0,Par303_Governmental and Administrative Efficiency,2,[],,
39N6W9XWS05H65P9I0HAUP0E2RZGYY,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3OWEPKL08XV6NX8O8X97WGLTHWN7N9,A1X47COW2Y9SEL,Approved,Thu Apr 24 03:00:19 PDT 2025,Thu Apr 24 03:00:39 PDT 2025,Sun Apr 27 03:00:39 PDT 2025,Thu Apr 24 06:56:48 PDT 2025,,,20,100% (238/239),100% (19/19),100% (19/19),"Madam President, Mr Posselt, I do not really think it took any courage to talk to China. Our dialogue with China – in which I have taken part myself – is very open and direct.
 The issue you raised is, of course, being pursued not only in relation to China, but also to Turkey. We have raised our concerns on the matter in our discussions with Turkey and will obviously continue to insist in future that the legal and administrative measures being established by Turkey in this respect are in line with our expectations in this domain, which of course correspond to international standards.",0,Par303_Governmental and Administrative Efficiency,2,[],,
39N6W9XWS05H65P9I0HAUP0E2RZGYY,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3QJOXOW4X7ALEU2YJ48DPBOAYSEME5,A1NBQ61Y6KO3O9,Approved,Fri Apr 18 07:49:35 PDT 2025,Fri Apr 18 07:52:43 PDT 2025,Mon Apr 21 07:52:43 PDT 2025,Mon Apr 21 07:52:49 PDT 2025,,,188,100% (287/287),100% (75/75),100% (19/19),"Madam President, Mr Posselt, I do not really think it took any courage to talk to China. Our dialogue with China – in which I have taken part myself – is very open and direct.
 The issue you raised is, of course, being pursued not only in relation to China, but also to Turkey. We have raised our concerns on the matter in our discussions with Turkey and will obviously continue to insist in future that the legal and administrative measures being established by Turkey in this respect are in line with our expectations in this domain, which of course correspond to international standards.",0,Par303_Governmental and Administrative Efficiency,2,[],,
3P7RGTLO71VLC9NPSLO9PVA06HDAKL,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,369J354OF1TH95DX2JRK0IC0L9MG6G,A335R4YE2E34H6,Approved,Fri May 02 06:47:05 PDT 2025,Fri May 02 06:49:01 PDT 2025,Mon May 05 06:49:01 PDT 2025,Mon May 05 06:49:49 PDT 2025,,,116,100% (152/152),100% (46/46),100% (46/46),"Mr President, ladies and gentlemen, first of all, I would like to welcome Mrs García Pérez’s report.
 As part of cohesion policy, the reforms are very important and are aimed at alleviating the adverse effects caused by the financial crisis. The flexibility allowed in distributing Community funds will provide national economies with immediate cash flow, which will enable them to invest in the real economy. This will have an immediate effect and we will definitely see the initial results in the following months.
 The European Commission is supporting Member States’ economies based on four major priorities, the most important of these being increasing the pre-financing from the European Regional Development Fund (ERDF) and European Social Fund and increasing the support from the European Investment Bank and European Investment Fund. In fact, in 2009 the pre-financing which the new Member States in particular receive may help to overcome the crisis, as well as establish social and territorial cohesion.
 Great importance must also be attached to the report on the eligibility of investments in energy efficiency and renewable energy for housing. The renovation of residential heating systems must feature on the European Union’s agenda of priorities, bearing in mind the added value generated by this measure.
 At a time when heating costs are constantly on the rise, Member States must also include in their programmes to combat the financial crisis projects which take into account energy efficiency. They offer the following important benefits to the economy and population: a cash flow injection into the economy, along with job creation, a reduction in heating costs, protection of the environment through cutting greenhouse gas emissions, the provision of social cohesion and support for low-income families.
 In Romania 1.4 million flats urgently require investment for renovation.",1,Par405_Corporatism,2,"[""Keynesian Demand Management"",""Market regulation"",""Economic Planning""]",,
3P7RGTLO71VLC9NPSLO9PVA06HDAKL,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3MTMREQS4J1ETTF071CE2Q0ABG5AW2,A1NBQ61Y6KO3O9,Approved,Wed May 07 06:05:27 PDT 2025,Wed May 07 06:13:55 PDT 2025,Sat May 10 06:13:55 PDT 2025,Sat May 10 06:14:49 PDT 2025,,,508,100% (287/287),100% (75/75),100% (19/19),"Mr President, ladies and gentlemen, first of all, I would like to welcome Mrs García Pérez’s report.
 As part of cohesion policy, the reforms are very important and are aimed at alleviating the adverse effects caused by the financial crisis. The flexibility allowed in distributing Community funds will provide national economies with immediate cash flow, which will enable them to invest in the real economy. This will have an immediate effect and we will definitely see the initial results in the following months.
 The European Commission is supporting Member States’ economies based on four major priorities, the most important of these being increasing the pre-financing from the European Regional Development Fund (ERDF) and European Social Fund and increasing the support from the European Investment Bank and European Investment Fund. In fact, in 2009 the pre-financing which the new Member States in particular receive may help to overcome the crisis, as well as establish social and territorial cohesion.
 Great importance must also be attached to the report on the eligibility of investments in energy efficiency and renewable energy for housing. The renovation of residential heating systems must feature on the European Union’s agenda of priorities, bearing in mind the added value generated by this measure.
 At a time when heating costs are constantly on the rise, Member States must also include in their programmes to combat the financial crisis projects which take into account energy efficiency. They offer the following important benefits to the economy and population: a cash flow injection into the economy, along with job creation, a reduction in heating costs, protection of the environment through cutting greenhouse gas emissions, the provision of social cohesion and support for low-income families.
 In Romania 1.4 million flats urgently require investment for renovation.",1,Par405_Corporatism,2,"[""Government and administrative efficiency"",""Market regulation"",""Incentives"",""Economic Planning"",""Economic Growth"",""Technology and Infrastructure""]",,
3P7RGTLO71VLC9NPSLO9PVA06HDAKL,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3VAR3R6G1DKS5WDJJH1QP5HTIQ1O8V,A1X47COW2Y9SEL,Approved,Wed Apr 30 06:38:46 PDT 2025,Wed Apr 30 06:40:44 PDT 2025,Sat May 03 06:40:44 PDT 2025,Wed Apr 30 06:41:24 PDT 2025,,,118,100% (238/239),100% (19/19),100% (19/19),"Mr President, ladies and gentlemen, first of all, I would like to welcome Mrs García Pérez’s report.
 As part of cohesion policy, the reforms are very important and are aimed at alleviating the adverse effects caused by the financial crisis. The flexibility allowed in distributing Community funds will provide national economies with immediate cash flow, which will enable them to invest in the real economy. This will have an immediate effect and we will definitely see the initial results in the following months.
 The European Commission is supporting Member States’ economies based on four major priorities, the most important of these being increasing the pre-financing from the European Regional Development Fund (ERDF) and European Social Fund and increasing the support from the European Investment Bank and European Investment Fund. In fact, in 2009 the pre-financing which the new Member States in particular receive may help to overcome the crisis, as well as establish social and territorial cohesion.
 Great importance must also be attached to the report on the eligibility of investments in energy efficiency and renewable energy for housing. The renovation of residential heating systems must feature on the European Union’s agenda of priorities, bearing in mind the added value generated by this measure.
 At a time when heating costs are constantly on the rise, Member States must also include in their programmes to combat the financial crisis projects which take into account energy efficiency. They offer the following important benefits to the economy and population: a cash flow injection into the economy, along with job creation, a reduction in heating costs, protection of the environment through cutting greenhouse gas emissions, the provision of social cohesion and support for low-income families.
 In Romania 1.4 million flats urgently require investment for renovation.",1,Par405_Corporatism,2,"[""Keynesian Demand Management"",""Economic Planning""]",,
36MUZ9VAFTKGOGYRG948H1517NEED7,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,33LK57MYLHOMNK6ZZOICMUOYEN4ZSZ,A1X47COW2Y9SEL,Approved,Thu Apr 17 02:43:25 PDT 2025,Thu Apr 17 02:45:39 PDT 2025,Sun Apr 20 02:45:39 PDT 2025,Thu Apr 17 03:14:28 PDT 2025,,,134,100% (238/239),100% (19/19),100% (19/19),"The report is that in 2015, the budget surplus of EUR 1349 million was created, which should be set into the 2016 budget, with a proportional payment of the Member States, according to previous agreements.The European Parliament encourages the Member States to use the money that has been received in this way to manage the refugee crisis.However, the EP insists that in the future, such surpluses do not have to be repaid to the Member States, but that, for example, the payment deficiencies can be covered.Indeed, it is not advisable to return any unexplored money to net contributors, it should be used to cover payout deficiencies.Accordingly, I voted yes to the submission.",0,Par303_Governmental and Administrative Efficiency,2,"[""Economic Planning""]",,
36MUZ9VAFTKGOGYRG948H1517NEED7,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3EQHHY4HQGBLQ1DJX0HF8CY0PEH5GV,A1NBQ61Y6KO3O9,Approved,Wed May 14 09:14:04 PDT 2025,Wed May 14 09:20:50 PDT 2025,Sat May 17 09:20:50 PDT 2025,Sat May 17 09:21:49 PDT 2025,,,406,100% (287/287),100% (75/75),100% (19/19),"The report is that in 2015, the budget surplus of EUR 1349 million was created, which should be set into the 2016 budget, with a proportional payment of the Member States, according to previous agreements.The European Parliament encourages the Member States to use the money that has been received in this way to manage the refugee crisis.However, the EP insists that in the future, such surpluses do not have to be repaid to the Member States, but that, for example, the payment deficiencies can be covered.Indeed, it is not advisable to return any unexplored money to net contributors, it should be used to cover payout deficiencies.Accordingly, I voted yes to the submission.",0,Par303_Governmental and Administrative Efficiency,2,"[""Government and administrative efficiency"",""Middle Class & Professional Groups"",""Economic Planning""]",,
36MUZ9VAFTKGOGYRG948H1517NEED7,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3F6KKYWMNZKM469YZACTW8VP37VDND,A335R4YE2E34H6,Approved,Fri May 02 06:23:39 PDT 2025,Fri May 02 06:24:12 PDT 2025,Mon May 05 06:24:12 PDT 2025,Mon May 05 06:24:49 PDT 2025,,,33,100% (152/152),100% (46/46),100% (46/46),"The report is that in 2015, the budget surplus of EUR 1349 million was created, which should be set into the 2016 budget, with a proportional payment of the Member States, according to previous agreements.The European Parliament encourages the Member States to use the money that has been received in this way to manage the refugee crisis.However, the EP insists that in the future, such surpluses do not have to be repaid to the Member States, but that, for example, the payment deficiencies can be covered.Indeed, it is not advisable to return any unexplored money to net contributors, it should be used to cover payout deficiencies.Accordingly, I voted yes to the submission.",0,Par303_Governmental and Administrative Efficiency,2,[],,
3VQTAXTYOQ34YFXTSDS7QT34QQWBUE,3BRS3IGD63EV308CIXT46SFWM41TR3,[ACSS] Text labeling Manifesto,Identify the most relevant labels to describe these texts,"labeling, text, manifesto",$1.00,Mon Apr 14 05:38:01 PDT 2025,3,BatchId:414859;OriginalHitTemplateId:921587261;,3600,259200,Tue Jul 22 05:38:01 PDT 2025,,,3A9AA95ATK5R3E6I0J722LCSQ5F5PA,APXGSUB250NVH,Approved,Mon May 19 03:11:15 PDT 2025,Mon May 19 03:15:13 PDT 2025,Thu May 22 03:15:13 PDT 2025,Mon May 19 05:12:51 PDT 2025,,,238,100% (83/83),100% (1/1),0% (0/0),"Mr. President, I would like to answer, agreeing with the description of the problem, which, by the way, is done in a very correct way and, if they allow me, would like to greet Parliament for that very reason, by your resolution, of May 20,2021.
In fact, there is a depopulation of a number of regions in Europe that has two main causes: one is the aging of Europe and, say, the demographic change of Europe, which indicates a path of progressive aging and abandonment of certain territories,And the other factor results from the capture that the most dynamic regions exert on young people and the most qualified.
That said, cohesion policy has instruments to counteract or limit this factor.I draw attention to the fact that cohesion policy is a policy that is managed in partnership with the Member States and, therefore, is Shared Management.In this sense, it is also important that, on the side of the countries, there is a perception of the strategic relevance of rebalanced the territory and contradicting this progressive loss of dynamics in a series of territories, in particular, east European territories, but also in the southAnd in western Europe, there are a number of territories that suffers from a violent tendency towards depopulation.
To this end, strategies must be defined, also assumed at national level, that there are protagonists at regional and local level, and then that the set of instruments that are available in cohesion policy can be articulated to attackroot of these problems.",0,Par405_Corporatism,2,"[""Economic Planning""]",,
